Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2013,1103020,Creek Paum Mine,Illinois,Jackson,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272", ,Illinois Basin,35522,8,16327
2013,1103140,Cora Terminal,Illinois,Jackson,Temporarily closed,Surface,Indepedent Producer Operator,Preparation Plant,Kinder Morgan Operating Lp B,"262 Cora Road, Rockwood, IL 62280",International Union of Operation Engineers,Illinois Basin,0,34,49443
2013,1100726,Shay #1 Mine,Illinois,Macoupin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Maryan Mining Llc,"14300 Brushy Mound Rd, Carlinville, IL 62626", ,Illinois Basin,739514,59,128506
2013,1102632,Crown Iii Mine,Illinois,Macoupin,"Active, men working, not producing",Underground,Contractor,Mine and Preparation Plant,Springfield Coal Company Llc,"3008 Happy Landing Drive, Springfield, IL 62711",United Mine Workers of America,Illinois Basin,930272,192,417291
2013,1103182,Deer Run Mine,Illinois,Montgomery,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Patton Mining Llc,"211 N Broadway,ste 2600, St. Louis, MO 63102", ,Illinois Basin,4845308,162,368011
2013,1103045,Red Hawk,Illinois,Perry,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,539118,38,86679
2013,1103143,Prairie Eagle,Illinois,Perry,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,158575,20,52614
2013,1103143,Prairie Eagle,Illinois,Perry,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,0,18,38430
2013,1103147,Prairie Eagle-Underground,Illinois,Perry,Active,Underground,Indepedent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Rd, Percy, IL 62272", ,Illinois Basin,2274984,169,376225
2013,1103205,Prairie Eagle South Undergroun,Illinois,Perry,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,491476,45,65811
2013,1103241,Jordan,Illinois,Perry,Active,Surface,Indepedent Producer Operator,Mine only,"Elk Land Holdings, Llc","2206 Samuel Stuart Ct., Chesterfield, MO 63005", ,Illinois Basin,23557,4,7372
2013,1103254,Fidelity Mine,Illinois,Perry,"Active, men working, not producing",Surface,Operating Subsidiary,Mine and Preparation Plant,"Energy Recovery, Llc","P.O. Box 483, Benton, IL 62812", ,Illinois Basin,0,1,300
2013,1102408,Gateway Mine,Illinois,Randolph,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2834382,214,436005
2013,1102546,Preparation Plant,Illinois,Randolph,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 397, Coulterville, IL 62237", ,Illinois Basin,0,29,67372
2013,1103226,Hawkeye Mine,Illinois,Randolph,Active,Surface,Indepedent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,340077,21,48306
2013,1103248,Black Hawk,Illinois,Randolph,Active,Surface,Indepedent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler/Trico Road, Percy, IL 62272", ,Illinois Basin,640865,27,56975
2013,1103225,Kinder Morgan Cahokia Terminal,Illinois,St Clair,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Kinder Morgan Operating Lp, C","#2 Monsanto Avenute, Sauget, IL 62201", ,Illinois Basin,0,22,46842
2013,1103225,Kinder Morgan Cahokia Terminal,Illinois,St Clair,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Kinder Morgan Operating Lp, C","#2 Monsanto Avenute, Sauget, IL 62201", ,Illinois Basin,0,21,46841
2013,1102752,The American Coal Company New,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946", ,Illinois Basin,4419659,606,1442872
2013,1103099,Willow Lake Central Preparatio,Illinois,Saline,Active,Surface,Operating Subsidiary,Preparation Plant,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",UNIT,Illinois Basin,0,9,19621
2013,1103099,Willow Lake Central Preparatio,Illinois,Saline,Active,Underground,Operating Subsidiary,Preparation Plant,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",UNIT,Illinois Basin,0,15,34881
2013,1103156,Wildcat Hills Mine-Underground,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crst Blvd, #100, Evansville, IN 47715", ,Illinois Basin,1579031,233,551324
2013,1103212,Eagle River Coal Llc Mine No 1,Illinois,Saline,Active,Surface,Indepedent Producer Operator,Mine only,Eagle River Coal Llc,"29 W. Raymond St, Harrisburg, IL 62946", ,Illinois Basin,694608,50,121765
2013,1103232,New Future Mine,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946", ,Illinois Basin,5450222,354,839778
2013,1102664,Viper Mine,Illinois,Sangamon,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Icg Illinois, Llc","5945 Lester Road, Williamsville, IL 62693", ,Illinois Basin,2281446,311,617035
2013,1103064,Friendsville Mine,Illinois,Wabash,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Friendsville Mine Llc,"528 Main St. Ste 202, Evansville, IN 47708", ,Illinois Basin,1252092,80,194217
2013,1103193,Lively Grove Mine,Illinois,Washington,Active,Underground,Indepedent Producer Operator,Mine only,Prairie State Generating Compa,"4274 County Hwy 12, Marissa, IL 62257", ,Illinois Basin,4629720,374,808421
2013,1103058,Pattiki,Illinois,White,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"White County Coal, Llc","P.O. Box 457, Carmi, IL 62821", ,Illinois Basin,2596801,322,805720
2013,1103141,Mach #1 Mine,Illinois,Williamson,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Mach Mining Llc,"P.O. Box 300, Johnston City, IL 62951", ,Illinois Basin,6694630,177,448008
2013,1202397,Brc Chinook Llc,Indiana,Clay,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,Brc Chinook Llc,"3589 N County Rd 500 W, Brazil, IN 47834", ,Illinois Basin,0,8,18515
2013,1202460,Ace In The Hole,Indiana,Clay,Active,Surface,Indepedent Producer Operator,Mine only,"Sunrise Coal, Llc","1183 E Canvasback Dr, Terre Haute, IN 47802", ,Illinois Basin,119886,9,23331
2013,1201732,Craney Mine,Indiana,Daviess,Temporarily closed,Surface,Indepedent Producer Operator,Preparation Plant,Solar Sources Inc,"Post Office Box 7, Petersburg, IN 47567", ,Illinois Basin,0,10,22676
2013,1201946,Viking Mine - Corning Pit,Indiana,Daviess,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 28, Montgomery, IN 47558", ,Illinois Basin,1114914,109,253534
2013,1202372,Antioch Mine,Indiana,Daviess,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","P.O. Box 7, Petersburg, IN 47567", ,Illinois Basin,991309,83,205212
2013,1202374,Shamrock Mine,Indiana,Dubois,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","625 N. Ninth St., Petersburg, IN 47567", ,Illinois Basin,1159798,105,258962
2013,1202147,Francisco Mine,Indiana,Gibson,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd. Ste 100, Evansville, IN 47715", ,Illinois Basin,0,40,85658
2013,1202207,Somerville,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,United Minerals Co Llc,"P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,587931,34,102642
2013,1202215,Gibson Mine,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Gibson County Coal Llc,"P.O. Box 1269, Princeton, IN 47670", ,Illinois Basin,3938521,357,928889
2013,1202258,Somerville Central Mine,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715", ,Illinois Basin,2607983,175,425477
2013,1202295,Francisco Underground Pit,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","P.O. Box 347, Francisco, IN 47649", ,Illinois Basin,2914792,287,646505
2013,1202325,Hurricane Creek,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E St Rd 58, Edwardsport, IN 47528", ,Illinois Basin,234638,18,45764
2013,1202097,Switz City,Indiana,Greene,Active,Surface,Operating Subsidiary,Preparation Plant,Triad Mining Inc,"14521 W State Road 58, Edwardsport, IN 47528", ,Illinois Basin,0,2,5102
2013,1202167,Freelandville Mine,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,130715,23,54455
2013,1202167,Freelandville Mine,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,0,12,26805
2013,1202316,Freelandville Underground,Indiana,Knox,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,"Triad Underground Mining, L.L.","14972 East S.R. 58, Edwardsport, IN 47528", ,Illinois Basin,16273,15,7359
2013,1202339,Freelandville East,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,414810,25,53907
2013,1202394,Oaktown Fuels Mine No 1,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561", ,Illinois Basin,3376144,290,741289
2013,1202418,Oaktown Fuels Mine No 2,Indiana,Knox,Active,Underground,Indepedent Producer Operator,Mine only,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561", ,Illinois Basin,1038597,71,175722
2013,1202423,Freelandville West Underground,Indiana,Knox,Active,Underground,Indepedent Producer Operator,Mine only,Triad Underground Mining L.L.C,"13333 E Hartsburg Rd, Edwardsport, IN 47528", ,Illinois Basin,598937,107,239158
2013,1202462,Oaktown Fuels Preparation Plan,Indiana,Knox,Active,Underground,Indepedent Producer Operator,Preparation Plant,Black Panther Mining Llc,"12661 Agricare Rd, Oaktown, IN 47561", ,Illinois Basin,0,59,118601
2013,1200330,Log Creek Loadout Facility,Indiana,Pike,Active,Surface,Operating Subsidiary,Preparation Plant,Triad Mining Inc.,"14521 E State Rd 58, Edwardsport, IN 47528", ,Illinois Basin,0,13,34097
2013,1201978,Solar Sources Preparation Plan,Indiana,Pike,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,Solar Sources Inc,"Post Office Box 7, Petersburg, IN 47567", ,Illinois Basin,0,9,23326
2013,1202249,Prosperity Mine,Indiana,Pike,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Five Star Mining Inc,"6594 W State Rd 56, Petersburg, IN 47567", ,Illinois Basin,1795632,375,1006312
2013,1202368,Charter #1,Indiana,Pike,Active,Surface,Indepedent Producer Operator,Preparation Plant,T & T Washing Co. Inc.,"P.O. Box 183, Madisonville, KY 42431", ,Illinois Basin,0,7,11773
2013,1202410,Log Creek Surface,Indiana,Pike,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc.,"14521 E. State Road 58, Edwardsport, IN 47528", ,Illinois Basin,940789,65,179183
2013,1202433,Hilsmeyer #2,Indiana,Pike,Active,Surface,Indepedent Producer Operator,Mine only,Loudermilk Contracting Inc.,"101 W. Main St., Jasonville, IN 47438", ,Illinois Basin,139790,17,29414
2013,1202446,Cardinal Mine,Indiana,Pike,Active,Surface,Indepedent Producer Operator,Mine only,"United Minerals Co, Llc","P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,888785,30,87319
